RPM to Rad/s,0.104719755,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Task 1A,Armeture + Brush Resistance,,,,,,,
,V1 [V],,,I1 [A],,,Calculate Ra [Ohms],,
,0.92,0.33,2.8,1.5,0.52,4.56,0.613333333,0.634615385,0.614035088
,Average,,,,,,,,0.620661269
,Task 1B,No Load Measurement,,,,,,,
,Measurement,1,2,3,4,5,6,,
,V1(ave) [V],5.05,9.91,15.12,20.06,25.02,30,35.06,40.4
,I1(ave) [A],0.72,0.83,0.91,0.97,1.01,1.03,1.04,1.05
,n1 (ave) [RPM],188,380,600,802,1014,1222,1435,1663
,calculation,,,,,,,,
,kt [V*sec/rad],0.233811677,0.236090053,0.231653175,0.231683064,0.229721157,0.229438799,0.229013508,0.22831443
,Average kt,0.231215733,,,,,,,
,Tfric [Nm],0.166475328,0.191909058,0.210406317,0.224279261,0.23352789,0.238152205,0.240464362,0.238152205
