Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2000,Vdc = 50,2
,Task 3A,Motor Speed Control by Duty Cycle (2kHz),,,,,
,Measurement #,1,2.0,3.0,4.0,5,
,"Duty Cycle, d",0.1,0.3,0.5,0.7,0.9,
,V1(ave)[V],4.83,14.6,25.0,34.8,42.8,
,I1(ave)[A],1.58,2.7,3.8,4.7,5.6,
,Current Ripple [A],1,1.8,2.1,1.9,0.9,
,P1(ave) [W],8.3,42.3,99.0,170.0,240,
,,,,,,,
,V2(ave)[V],3.24,11.2,20.08,28.38,35.25,
,I2(ave)[A],0.35,1.2,2.16,3.05,3.8,
,P2(ave) [W],1.1,13.6,43.2,86.6,133.8,
,,,,,,,
,n [RPM],152,525.0,928.0,1306.0,1620,
,Tm [Nm],0.23,0.45,0.69,0.9,1.08,
,P2/P1,0.1325301205,0.3215130024,0.4363636364,0.5094117647,0.5575,
,,,,,,,
,,,,,10000.0,Vdc = 50,2.0
,Task 3B,Motor Speed Control by Duty Cycle (10kHz),,,,,
,Measurement #,1,2.0,3.0,4.0,5,
,"Duty Cycle, d",0.1,0.3,0.5,0.7,0.9,
,V1(ave)[V],4.85,14.7,24.5,34.4,41.8,
,I1(ave)[A],1.6,2.8,3.9,4.9,5.65,
,Current Ripple [A],0.2,0.5,0.7,0.5,0.3,
,P1(ave) [W],8,42.2,96.0,168.0,237,
,,,,,,,
,V2(ave)[V],3.1,11.33,19.65,28.3,34.5,
,I2(ave)[A],0.34,1.3,2.22,3.12,3.77,
,P2(ave) [W],1.1,14.8,43.6,88.0,130,
,,,,,,,
,n [RPM],147,525.0,910.0,1306.0,1590,
,Tm [Nm],0.24,0.48,0.7,0.91,1.08,
,P2/P1,0.1375,0.3507109005,0.4541666667,0.5238095238,0.5485232068,
,,,,,,,
,,,,,,,
,Task 4A,Motor Speed Control by Duty Cycle (2.5kHz),,,,,
,Measurement #,1,2.0,3.0,4.0,5,
,"Duty Cycle, d",0.1,0.3,0.5,0.7,0.9,
,V1(ave)[V],4.8,15.0,24.5,34.4,42.3,
,I1(ave)[A],1.6,2.8,3.9,4.9,5.6,
,Current Ripple [A],0.9,1.6,2.0,1.8,0,
,P1(ave) [W],8,45.6,96.0,168.0,237,
,,,,,,,
,V2(ave)[V],2.9,11.3,19.66,28.3,35,
,I2(ave)[A],0.32,1.3,2.22,3.1,3.82,
,P2(ave) [W],1.1,14.7,43.6,87.8,133.2,
,,,,,,,
,n [RPM],147,525.0,910.0,1306.0,1616,
,Tm [Nm],0.24,0.48,0.7,0.9,1.09,
,P2/P1,0.1375,0.3223684211,0.4541666667,0.5226190476,0.5620253165,
