Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	48.999	36.116	5.690	4.022	1647.390	-1.120
0.002	48.992	36.067	5.698	4.022	1642.516	-1.122
0.003	48.992	36.085	5.706	4.030	1641.297	-1.123
0.005	48.992	36.116	5.690	4.022	1643.734	-1.120
0.006	48.999	36.085	5.698	4.038	1649.827	-1.123
0.008	48.999	36.043	5.698	4.030	1653.482	-1.123
0.009	48.986	36.091	5.698	4.022	1655.919	-1.123
0.011	48.992	36.116	5.714	4.022	1657.138	-1.120
0.012	48.986	36.097	5.714	4.022	1655.919	-1.122
0.014	48.986	36.055	5.731	4.030	1651.045	-1.124
0.015	48.986	36.006	5.739	4.038	1651.045	-1.123
0.017	48.986	36.043	5.722	4.022	1647.390	-1.124
0.019	48.980	36.073	5.731	4.030	1644.953	-1.122
0.020	48.986	36.091	5.731	4.030	1646.171	-1.122
0.022	48.980	36.055	5.739	4.030	1642.516	-1.122
0.023	48.980	35.994	5.739	4.022	1647.390	-1.124
0.025	48.974	35.994	5.755	4.030	1653.482	-1.122
0.026	48.974	36.043	5.747	4.022	1658.356	-1.122
0.028	48.980	36.073	5.755	4.030	1660.793	-1.122
0.029	48.980	36.067	5.755	4.030	1657.138	-1.123
0.031	48.980	36.031	5.755	4.046	1654.701	-1.123
0.033	48.980	35.982	5.772	4.030	1653.482	-1.122
0.034	48.974	36.012	5.763	4.030	1649.827	-1.123
0.036	48.974	36.055	5.772	4.030	1647.390	-1.120
0.037	48.980	36.085	5.788	4.030	1638.861	-1.123
0.039	48.974	36.067	5.772	4.038	1643.734	-1.123
0.040	48.974	36.018	5.780	4.038	1644.953	-1.123
0.042	48.968	35.982	5.780	4.022	1649.827	-1.122
0.043	48.974	36.018	5.780	4.022	1654.701	-1.123
0.045	48.968	36.061	5.780	4.030	1658.356	-1.123
0.046	48.956	36.073	5.788	4.022	1657.138	-1.122
0.048	48.962	36.024	5.804	4.030	1653.482	-1.124
0.050	48.962	35.964	5.788	4.030	1652.264	-1.122
0.051	48.968	35.982	5.804	4.030	1649.827	-1.124
0.053	48.956	36.043	5.812	4.030	1648.608	-1.123
0.054	48.956	36.061	5.804	4.038	1644.953	-1.124
0.056	48.950	36.018	5.821	4.030	1644.953	-1.122
0.057	48.962	36.006	5.829	4.022	1646.171	-1.123
0.059	48.956	36.055	5.821	4.030	1649.827	-1.122
0.060	48.956	36.073	5.837	4.030	1655.919	-1.123
0.062	48.950	36.043	5.812	4.030	1660.793	-1.123
0.064	48.962	35.982	5.829	4.030	1659.575	-1.122
0.065	48.956	35.970	5.829	4.022	1657.138	-1.123
0.067	48.956	36.018	5.837	4.038	1653.482	-1.120
0.068	48.950	36.049	5.829	4.038	1651.045	-1.124
0.070	48.956	36.018	5.845	4.038	1648.608	-1.124
0.071	48.956	35.994	5.853	4.022	1647.390	-1.123
0.073	48.944	35.927	5.853	4.038	1640.079	-1.123
0.074	48.944	35.970	5.853	4.030	1641.297	-1.123
0.076	48.938	36.012	5.853	4.030	1643.734	-1.124
0.077	48.944	36.055	5.870	4.030	1651.045	-1.123
0.079	48.944	36.024	5.870	4.030	1653.482	-1.123
0.081	48.938	35.988	5.862	4.030	1659.575	-1.122
0.082	48.950	35.945	5.878	4.022	1655.919	-1.124
0.084	48.950	35.988	5.862	4.022	1657.138	-1.122
0.085	48.932	36.037	5.878	4.030	1651.045	-1.124
0.087	48.938	36.049	5.878	4.030	1649.827	-1.123
0.088	48.944	36.012	5.886	4.030	1644.953	-1.124
0.090	48.944	35.964	5.886	4.038	1643.734	-1.122
0.091	48.938	35.957	5.886	4.030	1643.734	-1.123
0.093	48.932	36.006	5.903	4.038	1646.171	-1.124
0.095	48.938	36.043	5.903	4.030	1651.045	-1.124
0.096	48.932	36.024	5.903	4.030	1655.919	-1.124
0.098	48.938	35.994	5.894	4.030	1662.012	-1.122
0.099	48.932	36.024	5.911	4.038	1657.138	-1.123
0.101	48.932	36.061	5.911	4.030	1657.138	-1.124
0.102	48.932	36.018	5.911	4.030	1651.045	-1.124
0.104	48.926	35.970	5.919	4.030	1651.045	-1.122
0.105	48.919	35.939	5.919	4.030	1648.608	-1.122
0.107	48.919	35.994	5.919	4.030	1646.171	-1.123
0.108	48.926	36.037	5.927	4.038	1642.516	-1.124
0.110	48.926	36.031	5.935	4.046	1642.516	-1.123
0.112	48.919	35.988	5.935	4.038	1646.171	-1.120
0.113	48.919	35.945	5.944	4.038	1651.045	-1.124
0.115	48.926	35.939	5.952	4.022	1657.138	-1.123
0.116	48.913	36.000	5.952	4.030	1658.356	-1.123
0.118	48.919	36.037	5.952	4.030	1657.138	-1.124
0.119	48.913	36.037	5.944	4.038	1653.482	-1.122
0.121	48.926	35.994	5.960	4.014	1652.264	-1.124
0.122	48.907	35.945	5.944	4.038	1648.608	-1.124
0.124	48.907	35.964	5.960	4.038	1644.953	-1.124
0.126	48.913	36.018	5.960	4.038	1644.953	-1.122
0.127	48.919	36.067	5.976	4.038	1642.516	-1.125
0.129	48.919	36.037	5.968	4.038	1648.608	-1.123
0.130	48.907	35.982	5.985	4.030	1653.482	-1.123
0.132	48.919	35.951	5.993	4.030	1658.356	-1.123
0.133	48.907	35.988	5.993	4.030	1659.575	-1.124
0.135	48.913	36.031	5.985	4.030	1658.356	-1.122
0.136	48.907	36.055	5.993	4.030	1655.919	-1.122
0.138	48.907	36.018	6.001	4.030	1653.482	-1.124
0.139	48.907	35.951	6.009	4.030	1651.045	-1.122
0.141	48.907	35.957	6.001	4.046	1647.390	-1.123
0.143	48.913	36.006	6.009	4.030	1643.734	-1.122
0.144	48.907	36.031	6.001	4.030	1642.516	-1.124
0.146	48.901	36.006	6.009	4.030	1644.953	-1.123
0.147	48.907	35.970	6.017	4.022	1647.390	-1.124
0.149	48.907	36.018	6.001	4.038	1653.482	-1.123
0.150	48.895	36.049	6.017	4.022	1657.138	-1.124
0.152	48.901	36.012	6.034	4.030	1658.356	-1.123
0.153	48.895	35.994	6.025	4.022	1655.919	-1.123
0.155	48.895	36.018	6.025	4.022	1653.482	-1.123
0.157	48.889	36.006	6.034	4.022	1649.827	-1.124
0.158	48.889	35.945	6.034	4.030	1647.390	-1.124
0.160	48.895	35.976	6.034	4.030	1647.390	-1.124
0.161	48.895	36.018	6.034	4.030	1648.608	-1.125
0.163	48.901	35.994	6.050	4.022	1643.734	-1.124
0.164	48.895	35.939	6.050	4.022	1647.390	-1.124
0.166	48.889	35.970	6.050	4.022	1652.264	-1.124
0.167	48.889	36.006	6.050	4.022	1658.356	-1.125
0.169	48.895	35.976	6.050	4.022	1660.793	-1.123
0.170	48.877	35.933	6.058	4.022	1655.919	-1.124
0.172	48.895	35.976	6.058	4.038	1654.701	-1.122
0.174	48.895	36.006	6.066	4.014	1652.264	-1.124
0.175	48.883	35.988	6.066	4.030	1651.045	-1.124
0.177	48.889	35.927	6.075	4.030	1647.390	-1.124
0.178	48.889	35.878	6.075	4.022	1643.734	-1.124
0.180	48.889	35.927	6.058	4.022	1643.734	-1.124
0.181	48.877	35.964	6.083	4.030	1643.734	-1.125
0.183	48.889	35.951	6.091	4.014	1649.827	-1.127
0.184	48.877	35.890	6.083	4.030	1652.264	-1.125
0.186	48.883	35.915	6.091	4.014	1658.356	-1.123
0.188	48.883	35.951	6.083	4.005	1658.356	-1.124
0.189	48.877	35.921	6.107	4.022	1655.919	-1.124
0.191	48.877	35.878	6.083	4.030	1653.482	-1.125
0.192	48.877	35.903	6.099	4.005	1648.608	-1.124
0.194	48.883	35.909	6.099	4.014	1648.608	-1.125
0.195	48.883	35.860	6.107	4.014	1647.390	-1.125
0.197	48.877	35.824	6.099	4.014	1651.045	-1.125
0.198	48.883	35.763	6.116	4.005	1643.734	-1.124
0.200	48.871	35.799	6.124	4.005	1648.608	-1.124
0.201	48.883	35.830	6.124	4.005	1653.482	-1.123
0.203	48.871	35.866	6.124	4.005	1659.575	-1.127
0.205	48.877	35.824	6.132	4.005	1658.356	-1.125
0.206	48.877	35.793	6.132	4.005	1658.356	-1.127
0.208	48.871	35.750	6.124	3.997	1655.919	-1.123
0.209	48.877	35.769	6.132	3.997	1652.264	-1.124
0.211	48.865	35.817	6.132	4.005	1649.827	-1.123
0.212	48.871	35.787	6.148	4.005	1646.171	-1.125
0.214	48.871	35.738	6.140	3.997	1638.861	-1.125
0.215	48.859	35.750	6.148	4.005	1641.297	-1.124
0.217	48.865	35.793	6.140	3.989	1646.171	-1.127
0.219	48.871	35.787	6.148	3.997	1649.827	-1.124
0.220	48.871	35.744	6.157	4.005	1652.264	-1.127
0.222	48.865	35.690	6.157	4.005	1658.356	-1.125
0.223	4.104	35.702	6.124	3.989	1658.356	-1.127
0.225	-0.268	35.744	6.075	3.989	1659.575	-1.123
0.226	-0.487	35.757	6.034	3.989	1652.264	-1.125
0.228	-0.493	35.671	6.001	3.989	1649.827	-1.125
0.229	-0.493	35.635	5.960	3.989	1646.171	-1.125
0.231	-0.487	35.397	5.919	3.964	1646.171	-1.127
0.232	-0.481	35.422	5.886	3.956	1644.953	-1.125
0.234	-0.487	35.458	5.837	3.956	1644.953	-1.127
0.236	-0.493	35.470	5.804	3.956	1651.045	-1.124
0.237	-0.469	35.422	5.780	3.956	1654.701	-1.125
0.239	-0.475	35.416	5.755	3.964	1658.356	-1.124
0.240	-0.475	35.452	5.706	3.964	1660.793	-1.127
0.242	-0.481	35.452	5.673	3.964	1657.138	-1.125
0.243	-11.513	35.403	5.698	3.964	1660.793	-1.119
0.245	-1.047	35.428	5.624	3.956	1652.264	-1.122
0.246	-0.524	35.464	5.575	3.964	1652.264	-1.122
0.248	-0.499	35.452	5.542	3.964	1646.171	-1.125
0.250	-0.481	35.403	5.509	3.948	1637.642	-1.125
0.251	-0.469	35.446	5.477	3.956	1641.297	-1.125
0.253	-0.463	35.458	5.460	3.948	1646.171	-1.125
0.254	-0.463	35.422	5.411	3.948	1647.390	-1.127
0.256	-0.475	35.416	5.387	3.964	1654.701	-1.125
0.257	-0.463	35.458	5.354	3.964	1659.575	-1.127
0.259	-0.451	35.458	5.329	3.948	1658.356	-1.125
0.260	-0.451	35.416	5.305	3.964	1654.701	-1.125
0.262	-0.463	35.422	5.272	3.964	1654.701	-1.127
0.263	40.268	35.464	5.280	3.964	1642.516	-1.131
0.265	48.585	35.483	5.280	3.964	1646.171	-1.125
0.267	48.950	35.452	5.305	3.973	1646.171	-1.123
0.268	48.986	35.379	5.313	3.964	1643.734	-1.123
0.270	48.986	35.397	5.329	3.964	1646.171	-1.125
0.271	48.999	35.458	5.346	3.956	1651.045	-1.125
0.273	48.992	35.495	5.370	3.964	1654.701	-1.124
0.274	48.999	35.476	5.362	3.964	1657.138	-1.124
0.276	49.005	35.440	5.370	3.964	1659.575	-1.125
0.277	49.005	35.489	5.387	3.964	1657.138	-1.124
0.279	49.011	35.501	5.378	3.973	1654.701	-1.125
0.281	49.005	35.464	5.403	3.973	1651.045	-1.125
0.282	49.011	35.458	5.419	3.964	1648.608	-1.123
0.284	49.011	35.507	5.395	3.973	1647.390	-1.124
0.285	49.017	35.531	5.419	3.964	1640.079	-1.124
0.287	49.017	35.495	5.436	3.973	1643.734	-1.123
0.288	49.017	35.470	5.428	3.964	1644.953	-1.124
0.290	49.023	35.446	5.444	3.956	1652.264	-1.123
0.291	49.023	35.489	5.452	3.964	1653.482	-1.125
0.293	49.023	35.537	5.468	3.973	1660.793	-1.124
0.294	49.029	35.562	5.452	3.964	1657.138	-1.124
0.296	49.023	35.537	5.460	3.981	1653.482	-1.125
0.298	49.017	35.525	5.477	3.964	1653.482	-1.123
0.299	49.023	35.501	5.485	3.981	1649.827	-1.124
0.301	49.011	35.550	5.477	3.973	1647.390	-1.124
0.302	49.023	35.586	5.485	3.964	1644.953	-1.123
0.304	49.017	35.580	5.493	3.964	1643.734	-1.123
0.305	49.017	35.537	5.501	3.973	1644.953	-1.125
0.307	49.023	35.501	5.509	3.981	1649.827	-1.123
0.308	49.023	35.525	5.518	3.973	1654.701	-1.124
