Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	0.377	-20.128	-4.246	-2.203	919.955	0.623
0.002	0.371	-20.152	-4.238	-2.195	921.174	0.623
0.003	0.371	-20.128	-4.205	-2.203	916.300	0.624
0.005	0.365	-20.122	-4.180	-2.203	915.081	0.625
0.006	0.371	-20.116	-4.172	-2.203	915.081	0.624
0.008	0.359	-20.097	-4.156	-2.195	912.644	0.624
0.009	0.365	-20.104	-4.139	-2.212	906.552	0.624
0.011	0.365	-20.061	-4.123	-2.212	910.207	0.623
0.012	0.365	-20.073	-4.099	-2.195	913.863	0.623
0.014	0.353	-20.055	-4.074	-2.195	921.174	0.623
0.015	0.359	-20.055	-4.074	-2.195	926.048	0.624
0.017	0.353	-20.049	-4.041	-2.195	930.922	0.623
0.019	0.365	-20.049	-4.049	-2.195	930.922	0.623
0.020	0.353	-20.037	-4.025	-2.203	930.922	0.623
0.022	0.347	-20.030	-4.000	-2.195	929.703	0.624
0.023	0.353	-20.018	-3.984	-2.195	924.829	0.622
0.025	0.353	-20.030	-3.967	-2.195	927.266	0.624
0.026	0.347	-20.012	-3.951	-2.187	922.392	0.622
0.028	0.347	-20.024	-3.927	-2.195	922.392	0.622
0.029	0.353	-20.000	-3.918	-2.195	919.955	0.622
0.031	0.347	-20.000	-3.902	-2.195	919.955	0.623
0.033	0.347	-19.982	-3.902	-2.195	918.737	0.624
0.034	0.347	-19.982	-3.869	-2.195	917.518	0.623
0.036	0.347	-19.970	-3.853	-2.195	917.518	0.622
0.037	0.341	-19.957	-3.845	-2.203	915.081	0.622
0.039	0.335	-19.951	-3.820	-2.187	915.081	0.620
0.040	0.341	-19.945	-3.812	-2.187	910.207	0.619
0.042	0.341	-19.927	-3.795	-2.187	915.081	0.622
0.043	0.347	-19.915	-3.779	-2.187	912.644	0.620
0.045	3.811	-19.909	-3.746	-2.187	941.888	0.622
0.046	0.444	-19.890	-3.730	-2.179	921.174	0.618
0.048	0.298	-19.890	-3.722	-2.171	923.611	0.618
0.050	0.298	-19.872	-3.714	-2.179	933.358	0.622
0.051	0.304	-19.872	-3.697	-2.187	932.140	0.620
0.053	0.311	-19.848	-3.681	-2.171	932.140	0.622
0.054	0.311	-19.836	-3.681	-2.179	928.485	0.619
0.056	0.304	-19.823	-3.648	-2.187	928.485	0.620
0.057	0.311	-19.817	-3.640	-2.179	927.266	0.622
0.059	0.298	-19.799	-3.607	-2.171	922.392	0.619
0.060	0.304	-19.793	-3.607	-2.171	922.392	0.619
0.062	0.298	-19.769	-3.599	-2.171	922.392	0.619
0.064	0.298	-19.775	-3.574	-2.171	918.737	0.620
0.065	0.298	-19.750	-3.558	-2.171	918.737	0.620
0.067	0.292	-19.750	-3.533	-2.171	917.518	0.619
0.068	0.292	-19.744	-3.533	-2.171	915.081	0.618
0.070	0.292	-19.738	-3.517	-2.171	913.863	0.619
0.071	0.304	-19.708	-3.492	-2.162	911.426	0.619
0.073	0.286	-19.714	-3.476	-2.171	906.552	0.619
0.074	0.286	-19.683	-3.468	-2.171	910.207	0.620
0.076	0.292	-19.683	-3.460	-2.162	916.300	0.618
0.077	0.286	-19.665	-3.435	-2.162	921.174	0.619
0.079	0.286	-19.665	-3.435	-2.162	926.048	0.618
0.081	0.286	-19.647	-3.410	-2.154	930.922	0.619
0.082	0.292	-19.647	-3.394	-2.154	933.358	0.618
0.084	0.286	-19.629	-3.386	-2.154	929.703	0.619
0.085	0.274	-19.623	-3.370	-2.154	927.266	0.618
0.087	0.280	-19.623	-3.353	-2.146	928.485	0.619
0.088	0.280	-19.610	-3.345	-2.154	926.048	0.618
0.090	0.280	-19.604	-3.329	-2.154	922.392	0.615
0.091	0.274	-19.604	-3.304	-2.146	923.611	0.618
0.093	0.274	-19.598	-3.304	-2.154	923.611	0.618
0.095	0.274	-19.598	-3.279	-2.154	921.174	0.618
0.096	0.268	-19.586	-3.263	-2.154	918.737	0.617
0.098	0.268	-19.598	-3.263	-2.154	918.737	0.617
0.099	0.274	-19.592	-3.238	-2.171	916.300	0.614
0.101	0.268	-19.592	-3.222	-2.162	913.863	0.615
0.102	0.262	-19.586	-3.214	-2.146	913.863	0.617
0.104	0.268	-19.586	-3.198	-2.162	911.426	0.615
0.105	0.262	-19.592	-3.173	-2.146	915.081	0.614
0.107	0.262	-19.586	-3.165	-2.154	910.207	0.615
0.108	0.262	-19.586	-3.157	-2.162	918.737	0.617
0.110	0.262	-19.580	-3.140	-2.162	922.392	0.614
0.112	0.256	-19.598	-3.116	-2.154	929.703	0.617
0.113	0.262	-19.586	-3.132	-2.162	932.140	0.614
0.115	0.262	-19.598	-3.099	-2.154	932.140	0.615
0.116	0.262	-19.592	-3.083	-2.154	929.703	0.615
0.118	0.256	-19.598	-3.066	-2.146	929.703	0.614
0.119	0.256	-19.586	-3.066	-2.162	928.485	0.615
0.121	0.256	-19.598	-3.034	-2.171	928.485	0.615
0.122	0.244	-19.586	-3.042	-2.162	923.611	0.615
0.124	0.250	-19.604	-3.017	-2.162	922.392	0.615
0.126	0.250	-19.598	-3.001	-2.154	921.174	0.615
0.127	0.250	-19.604	-3.001	-2.171	918.737	0.615
0.129	0.244	-19.604	-2.985	-2.171	919.955	0.615
0.130	0.244	-19.604	-2.968	-2.162	915.081	0.615
0.132	0.250	-19.610	-2.952	-2.171	918.737	0.617
0.133	0.250	-19.616	-2.935	-2.179	913.863	0.615
0.135	0.244	-19.610	-2.919	-2.171	912.644	0.615
0.136	0.237	-19.610	-2.903	-2.154	906.552	0.615
0.138	0.250	-19.616	-2.878	-2.162	910.207	0.615
0.139	0.231	-19.604	-2.886	-2.162	913.863	0.615
0.141	-41.455	-19.616	-2.894	-2.162	904.115	0.607
0.143	-49.078	-19.616	-2.927	-2.162	923.611	0.614
0.144	-49.407	-19.616	-2.960	-2.162	933.358	0.617
0.146	-49.437	-19.616	-2.993	-2.162	934.577	0.615
0.147	-49.437	-19.616	-3.017	-2.162	927.266	0.614
0.149	-49.437	-19.623	-3.058	-2.179	929.703	0.617
0.150	-49.443	-19.623	-3.083	-2.171	926.048	0.615
0.152	-49.443	-19.635	-3.107	-2.171	926.048	0.614
0.153	-49.437	-19.635	-3.124	-2.179	922.392	0.614
0.155	-49.431	-19.641	-3.148	-2.171	922.392	0.614
0.157	-49.431	-19.647	-3.165	-2.162	921.174	0.615
0.158	-49.431	-19.629	-3.189	-2.171	919.955	0.613
0.160	-49.425	-19.647	-3.214	-2.171	918.737	0.615
0.161	-49.431	-19.641	-3.238	-2.171	917.518	0.614
0.163	-49.425	-19.653	-3.255	-2.171	917.518	0.614
0.164	-49.419	-19.641	-3.279	-2.171	913.863	0.614
0.166	-49.413	-19.659	-3.296	-2.171	915.081	0.617
0.167	-49.413	-19.641	-3.320	-2.179	910.207	0.613
0.169	-49.419	-19.653	-3.345	-2.179	915.081	0.614
0.170	-49.407	-19.641	-3.353	-2.171	911.426	0.614
0.172	-49.407	-19.641	-3.378	-2.171	917.518	0.615
0.174	-49.400	-19.629	-3.394	-2.162	922.392	0.614
0.175	-49.388	-19.641	-3.435	-2.162	928.485	0.613
0.177	-49.394	-19.623	-3.443	-2.162	932.140	0.614
0.178	-49.394	-19.623	-3.460	-2.179	932.140	0.614
0.180	-49.388	-19.616	-3.476	-2.179	932.140	0.618
0.181	-49.394	-19.623	-3.492	-2.171	928.485	0.613
0.183	-49.388	-19.610	-3.517	-2.162	927.266	0.615
0.184	-49.382	-19.616	-3.533	-2.171	926.048	0.615
0.186	-49.382	-19.598	-3.550	-2.171	926.048	0.614
0.188	-49.370	-19.598	-3.558	-2.162	922.392	0.615
0.189	-49.376	-19.586	-3.591	-2.171	921.174	0.615
0.191	-49.352	-19.580	-3.607	-2.162	921.174	0.614
0.192	-49.346	-19.580	-3.623	-2.179	918.737	0.615
0.194	-49.346	-19.562	-3.640	-2.162	918.737	0.615
0.195	-49.358	-19.562	-3.673	-2.171	916.300	0.617
0.197	-49.352	-19.562	-3.681	-2.162	915.081	0.617
0.198	-49.346	-19.550	-3.689	-2.179	911.426	0.615
0.200	-49.352	-19.537	-3.705	-2.162	905.333	0.617
0.201	-49.346	-19.537	-3.730	-2.171	910.207	0.617
0.203	-49.340	-19.519	-3.738	-2.154	916.300	0.615
0.205	-49.340	-19.513	-3.754	-2.171	921.174	0.618
0.206	-49.327	-19.495	-3.763	-2.162	927.266	0.618
0.208	-49.327	-19.501	-3.787	-2.162	933.358	0.617
0.209	-49.327	-19.483	-3.812	-2.154	932.140	0.615
0.211	-49.321	-19.483	-3.820	-2.154	930.922	0.618
0.212	-49.315	-19.470	-3.836	-2.146	927.266	0.617
0.214	-49.315	-19.476	-3.869	-2.154	928.485	0.618
0.215	-49.309	-19.458	-3.886	-2.171	924.829	0.618
0.217	-49.303	-19.464	-3.894	-2.154	924.829	0.617
0.219	-49.309	-19.440	-3.902	-2.154	922.392	0.617
0.220	-49.309	-19.446	-3.927	-2.146	921.174	0.617
0.222	-49.297	-19.440	-3.943	-2.154	919.955	0.615
0.223	-49.297	-19.434	-3.967	-2.154	917.518	0.617
