Time (ms),Ch1 V,Ch2 V,Ch1 A,Ch2 A,RPM,Torque,range,J,,,,
0,41.206,0,0.906,0.002,1570.225,0.013,0,0.06739039791,0,,Average J,0.8686457197
0.063,41.199,0.012,0.939,0.002,1583.628,0.015,0,0.07775815144,0,,,
0.125,41.072,0.006,0.963,0.01,1601.905,0.012,0,0.06220652115,0,,Big step,0.009277928497
0.188,40.889,0,0.98,0.01,1589.72,0.012,0,0.06220652115,0,,,
0.25,40.859,-0.006,0.98,-0.015,1570.225,0.011,0,0.05702264439,0,,,
0.313,40.761,0,0.996,0.01,1582.41,0.012,0,0.06220652115,0,,,
0.375,40.56,0,0.988,0.01,1599.468,0.011,0,0.05702264439,0,,,
0.438,40.518,0,1.004,0.01,1589.72,0.011,0,0.05702264439,0,,,
0.5,40.566,0,0.996,0.002,1571.443,0.01,0,0.05183876763,0,,,
0.563,40.39,0,0.988,0.018,1584.846,0.011,0,0.05702264439,0,,,-0.02662367179
0.625,40.451,0.006,0.98,0.002,1599.468,0.008,0,0.0414710141,0,,,
0.688,40.591,-0.012,0.98,0.01,1592.157,0.011,0,0.05702264439,0,,,
0.751,41.017,0,0.988,0.002,1575.099,0.011,0,0.05702264439,0,,,
0.813,41.157,0.012,1.004,0.01,1584.846,0.01,0,0.05183876763,0,,,
0.876,41.297,0,1.021,0.018,1599.468,0.008,0,0.0414710141,0,,,
0.938,41.534,0,1.062,0.002,1592.157,0.008,0,0.0414710141,0,,,
1.001,41.668,0.006,1.086,0.002,1576.317,0.011,0,0.05702264439,0,,,
1.063,41.76,0.006,1.135,0.002,1584.846,0.008,0,0.0414710141,0,,,
1.126,41.869,0,1.168,0.002,1600.687,0.01,0,0.05183876763,0,,,
1.188,41.845,0,1.209,0.002,1595.813,0.011,0,0.05702264439,0,,,
1.251,41.754,0.006,1.234,0.002,1578.754,0.012,0,0.06220652115,0,,,
1.314,41.534,0.012,1.258,0.01,1583.628,0.011,0,0.05702264439,0,,,
1.376,41.303,0.006,1.291,0.018,1599.468,0.01,0,0.05183876763,0,,,
1.439,40.889,0,1.299,0.002,1597.031,0.01,0,0.05183876763,0,,,
1.501,40.475,0.006,1.291,0.01,1575.099,0.011,0,0.05702264439,0,,,
1.564,40.043,0,1.275,0.002,1582.41,0.01,0,0.05183876763,0,,,
1.626,39.592,0,1.258,0.018,1597.031,0.011,0,0.05702264439,0,,,
1.689,39.221,-0.006,1.225,-0.007,1594.594,0.012,0,0.06220652115,0,,,
1.751,38.868,0,1.184,0.002,1575.099,0.011,0,0.05702264439,0,,,
1.814,38.563,0,1.135,0.002,1583.628,0.015,0,0.07775815144,0,,,
1.876,38.308,0,1.078,0.01,1598.25,0.013,0,0.06739039791,0,,,
1.939,38.222,0,1.029,0.01,1593.376,0.013,0,0.06739039791,0,,,
2.002,38.247,0,0.963,-0.007,1573.88,0.013,0,0.06739039791,0,,,
2.064,38.819,0,0.931,0.002,1584.846,0.015,0,0.07775815144,0,,,
2.127,39.117,-0.006,0.898,-0.007,1599.468,0.015,0,0.07775815144,0,,,
2.189,39.349,0.006,0.881,0.01,1594.594,0.013,0,0.06739039791,0,,,
2.252,39.55,0,0.881,0.01,1576.317,0.016,0,0.0829420282,0,,,
2.314,39.75,0,0.873,0.002,1582.41,0.015,0,0.07775815144,0,,,
2.377,39.915,0,0.881,0.002,1599.468,0.013,0,0.06739039791,0,,,
2.439,40.061,0,0.906,-0.007,1590.939,0.015,0,0.07775815144,0,,,
2.502,40.189,0,0.898,0.002,1572.662,0.015,0,0.07775815144,0,,,
2.565,40.317,0,0.914,0.01,1584.846,0.015,0,0.07775815144,0,,,
2.627,40.39,0.006,0.914,0.002,1599.468,0.012,0,0.06220652115,0,,,
2.69,40.396,0.006,0.931,0.002,1588.502,0.015,0,0.07775815144,0,,,
2.752,40.408,0.006,0.931,0.01,1571.443,0.012,0,0.06220652115,0,,,
2.815,40.353,-0.006,0.939,0.002,1584.846,0.013,0,0.06739039791,0,,,
2.877,40.341,0.006,0.947,0.018,1598.25,0.011,0,0.05702264439,0,,,
2.94,40.335,0,0.947,0.002,1588.502,0.011,0,0.05702264439,0,,,
3.002,40.311,-0.006,0.947,0.01,1564.132,0.011,0,0.05702264439,0,,,
3.065,40.305,0,0.947,0.002,1586.065,0.01,0,0.05183876763,0,,,
3.127,40.28,0.006,0.947,0.01,1600.687,0.01,0,0.05183876763,0,,,
3.19,40.244,0,0.947,0.002,1584.846,0.008,0,0.0414710141,0,,,
3.253,40.195,0,0.931,0.01,1572.662,0.008,0,0.0414710141,0,,,
3.315,40.152,0.006,0.922,-0.007,1587.283,0.01,0,0.05183876763,0,,,
3.378,40.158,0,0.914,0.002,1600.687,0.007,0,0.03628713734,0,,,
3.44,40.219,-0.006,0.914,0.01,1582.41,0.008,0,0.0414710141,0,,,
3.503,40.378,0,0.931,0.01,1573.88,0.008,0,0.0414710141,0,,,
3.565,40.822,-0.006,0.963,0.01,1588.502,0.008,0,0.0414710141,0,,,
3.628,40.944,0,0.996,0.002,1593.376,0.011,0,0.05702264439,0,,,
3.69,41.126,0.006,1.012,0.002,1575.099,0.011,0,0.05702264439,0,,,
3.753,41.273,0,1.037,0.01,1575.099,0.011,0,0.05702264439,0,,,
3.816,41.382,-0.012,1.07,0.01,1588.502,0.01,0,0.05183876763,0,,,
3.878,41.455,0,1.103,0.002,1586.065,0.01,0,0.05183876763,0,,,
3.941,41.486,-0.006,1.135,0.01,1566.569,0.011,0,0.05702264439,0,,,
4.003,41.467,-0.012,1.144,0.002,1576.317,0.015,0,0.07775815144,0,,,
4.066,41.309,0,1.176,0.01,1590.939,0.012,0,0.06220652115,0,,,
4.128,41.059,0.006,1.184,0.002,1579.973,0.015,0,0.07775815144,0,,,
