Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	-0.146	3.093	1.619	0.385	163.277	-0.238
0.002	-0.140	3.087	1.611	0.377	162.058	-0.239
0.004	-0.146	3.105	1.594	0.393	162.058	-0.238
0.005	-0.146	3.105	1.611	0.377	162.058	-0.238
0.007	-0.152	3.099	1.594	0.385	160.840	-0.239
0.009	-0.140	3.099	1.594	0.385	159.621	-0.238
0.011	-0.146	3.099	1.602	0.393	160.840	-0.238
0.013	-0.134	3.093	1.594	0.377	160.840	-0.239
0.014	-0.128	3.099	1.586	0.393	160.840	-0.238
0.016	-0.134	3.099	1.586	0.385	159.621	-0.238
0.018	-0.140	3.093	1.561	0.385	158.403	-0.238
0.020	-0.134	3.099	1.578	0.377	160.840	-0.237
0.022	-0.146	3.099	1.586	0.385	158.403	-0.238
0.023	-0.134	3.093	1.570	0.369	158.403	-0.237
0.025	-0.140	3.105	1.561	0.377	158.403	-0.238
0.027	-0.128	3.099	1.561	0.385	155.966	-0.235
0.029	-0.140	3.099	1.561	0.377	155.966	-0.238
0.031	-0.134	3.099	1.545	0.385	159.621	-0.237
0.032	-0.134	3.099	1.553	0.385	157.184	-0.238
0.034	-0.134	3.099	1.545	0.369	159.621	-0.235
0.036	-0.134	3.093	1.545	0.385	155.966	-0.237
0.038	-0.134	3.099	1.537	0.385	155.966	-0.238
0.040	-0.140	3.093	1.529	0.369	157.184	-0.237
0.041	-0.134	3.105	1.529	0.377	154.747	-0.238
0.043	-0.128	3.099	1.520	0.369	157.184	-0.237
0.045	-0.128	3.099	1.537	0.385	155.966	-0.235
0.047	-0.140	3.105	1.520	0.385	153.529	-0.238
0.049	-0.134	3.093	1.496	0.385	153.529	-0.237
0.050	-0.134	3.099	1.512	0.385	154.747	-0.237
0.052	-0.134	3.099	1.512	0.377	153.529	-0.238
0.054	-0.128	3.099	1.504	0.377	153.529	-0.237
0.056	-0.134	3.099	1.504	0.385	153.529	-0.237
0.058	-0.134	3.111	1.488	0.377	152.310	-0.238
0.059	-0.140	3.093	1.504	0.377	152.310	-0.237
0.061	-0.128	3.099	1.488	0.385	152.310	-0.237
0.063	-0.134	3.105	1.480	0.377	152.310	-0.237
0.065	-0.128	3.099	1.480	0.385	149.873	-0.237
0.067	-0.134	3.093	1.471	0.385	149.873	-0.237
0.068	-0.128	3.099	1.471	0.369	151.092	-0.238
0.070	-0.140	3.099	1.463	0.377	152.310	-0.237
0.072	-0.140	3.099	1.463	0.377	152.310	-0.238
0.074	-0.128	3.111	1.471	0.377	152.310	-0.237
0.076	-0.134	3.105	1.471	0.369	151.092	-0.237
0.077	-0.134	3.093	1.447	0.385	148.655	-0.238
