Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	42.314	0.000	1.185	0.025	1631.550	-0.041
0.063	42.289	-0.006	1.217	0.033	1643.734	-0.043
0.125	42.107	-0.006	1.250	0.041	1630.331	-0.041
0.188	41.857	0.006	1.258	0.033	1644.953	-0.041
0.250	41.473	0.000	1.275	0.025	1629.113	-0.041
0.313	41.078	0.000	1.250	0.033	1644.953	-0.041
0.375	40.621	0.000	1.234	0.033	1623.020	-0.043
0.438	40.164	0.000	1.226	0.033	1642.516	-0.043
0.500	39.781	0.000	1.193	0.033	1636.424	-0.041
0.563	39.428	0.000	1.176	0.041	1641.297	-0.043
0.625	39.160	0.006	1.119	0.025	1627.894	-0.041
0.688	38.898	-0.006	1.078	0.033	1642.516	-0.041
0.751	38.746	0.000	1.045	0.033	1627.894	-0.039
0.813	38.740	0.006	0.988	0.033	1641.297	-0.041
0.876	38.880	0.000	0.955	0.041	1627.894	-0.041
0.938	39.470	0.006	0.931	0.033	1642.516	-0.043
1.001	39.720	0.000	0.914	0.041	1630.331	-0.041
1.063	39.909	0.006	0.914	0.033	1640.079	-0.043
1.126	40.122	0.006	0.906	0.041	1625.457	-0.043
1.188	40.274	0.006	0.914	0.033	1640.079	-0.044
1.251	40.432	-0.006	0.890	0.033	1629.113	-0.041
1.314	40.603	0.000	0.890	0.025	1637.642	-0.041
1.376	40.725	0.000	0.890	0.033	1626.676	-0.043
1.439	40.840	0.006	0.890	0.025	1640.079	-0.043
1.501	40.932	-0.006	0.906	0.033	1627.894	-0.043
1.564	40.834	0.000	0.898	0.033	1637.642	-0.043
1.626	41.023	-0.006	0.898	0.025	1629.113	-0.045
1.689	40.962	0.000	0.923	0.025	1638.861	-0.041
1.751	40.877	0.000	0.923	0.033	1632.768	-0.043
1.814	40.779	0.000	0.931	0.041	1637.642	-0.043
1.876	40.706	-0.006	0.939	0.041	1630.331	-0.040
1.939	40.658	0.000	0.939	0.033	1636.424	-0.043
2.002	40.621	0.000	0.939	0.025	1632.768	-0.040
2.064	40.591	0.000	0.939	0.033	1636.424	-0.041
2.127	40.542	0.006	0.955	0.033	1631.550	-0.043
2.189	40.560	0.012	0.947	0.025	1636.424	-0.041
2.252	40.652	0.012	0.947	0.033	1633.987	-0.041
2.314	40.749	0.006	0.963	0.033	1636.424	-0.043
2.377	41.260	0.012	0.972	0.033	1631.550	-0.041
2.439	41.516	0.000	0.996	0.033	1635.205	-0.041
2.502	41.741	0.006	1.021	0.033	1636.424	-0.041
2.565	41.912	0.000	1.021	0.025	1635.205	-0.041
2.627	42.058	-0.006	1.045	0.041	1632.768	-0.043
2.690	42.161	0.000	1.062	0.033	1636.424	-0.040
2.752	42.192	0.000	1.103	0.033	1636.424	-0.040
2.815	42.082	0.006	1.127	0.033	1635.205	-0.041
2.877	41.900	0.000	1.144	0.025	1633.987	-0.041
2.940	41.583	0.006	1.152	0.033	1632.768	-0.041
3.002	41.236	0.000	1.168	0.033	1637.642	-0.041
3.065	40.852	0.006	1.152	0.016	1633.987	-0.041
3.127	40.457	0.006	1.144	0.033	1635.205	-0.044
3.190	40.116	0.000	1.119	0.049	1632.768	-0.041
3.253	39.799	0.000	1.103	0.033	1640.079	-0.041
3.315	39.519	0.006	1.078	0.025	1631.550	-0.041
3.378	39.282	0.006	1.037	0.025	1637.642	-0.041
3.440	39.044	0.000	1.004	0.033	1632.768	-0.044
3.503	38.843	0.000	0.955	0.025	1638.861	-0.041
3.565	38.789	0.006	0.923	0.025	1631.550	-0.043
3.628	38.819	0.006	0.890	0.033	1637.642	-0.044
3.690	39.428	0.000	0.865	0.033	1631.550	-0.043
3.753	39.738	0.000	0.824	0.033	1640.079	-0.040
3.816	40.000	0.006	0.808	0.025	1630.331	-0.043
3.878	40.213	-0.006	0.791	0.025	1637.642	-0.043
3.941	40.438	0.000	0.783	0.033	1632.768	-0.041
4.003	40.645	0.006	0.783	0.033	1641.297	-0.040
4.066	40.852	0.000	0.791	0.033	1630.331	-0.041
4.128	41.120	-0.006	0.800	0.025	1638.861	-0.044
4.191	41.230	0.000	0.808	0.041	1630.331	-0.041
4.253	41.394	0.000	0.824	0.033	1643.734	-0.043
4.316	41.510	0.006	0.849	0.033	1629.113	-0.041
4.378	41.565	0.000	0.873	0.025	1643.734	-0.043
4.441	41.577	0.000	0.898	0.025	1630.331	-0.044
