Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	49.035	36.024	5.714	4.005	1654.701	-1.127
0.002	49.035	36.049	5.722	4.005	1659.575	-1.129
0.003	49.029	36.037	5.714	4.005	1662.012	-1.125
0.005	49.029	36.012	5.722	4.005	1663.230	-1.125
0.006	49.023	36.024	5.739	3.997	1660.793	-1.127
0.008	49.035	36.037	5.731	4.005	1659.575	-1.128
0.009	49.035	36.012	5.739	3.997	1657.138	-1.128
0.011	49.023	35.982	5.731	3.997	1653.482	-1.127
0.012	49.029	35.957	5.755	4.005	1652.264	-1.127
0.014	49.023	35.976	5.747	4.014	1642.516	-1.128
0.015	49.023	36.018	5.747	4.005	1644.953	-1.128
0.017	49.023	36.024	5.755	4.005	1649.827	-1.128
0.019	49.029	36.006	5.763	4.005	1653.482	-1.129
0.020	49.023	35.964	5.763	4.005	1658.356	-1.127
0.022	49.023	35.964	5.772	4.005	1663.230	-1.129
0.023	49.017	35.982	5.788	4.014	1659.575	-1.129
0.025	49.023	36.018	5.780	4.005	1659.575	-1.129
0.026	49.023	36.012	5.772	4.005	1657.138	-1.128
0.028	49.029	35.982	5.788	4.005	1653.482	-1.128
0.029	49.017	35.957	5.772	4.005	1652.264	-1.127
0.031	49.023	35.970	5.788	4.014	1649.827	-1.127
0.033	49.023	35.994	5.796	4.005	1651.045	-1.128
0.034	49.011	36.031	5.804	4.005	1651.045	-1.128
0.036	49.011	36.012	5.804	4.014	1653.482	-1.128
0.037	49.011	36.000	5.804	4.014	1659.575	-1.127
0.039	49.011	36.024	5.804	4.014	1665.667	-1.127
0.040	49.011	36.037	5.821	4.005	1664.449	-1.128
0.042	49.011	36.000	5.812	4.005	1662.012	-1.128
0.043	49.017	35.964	5.821	4.014	1659.575	-1.128
0.045	49.011	35.951	5.821	4.005	1657.138	-1.127
0.046	48.999	35.988	5.829	4.014	1653.482	-1.128
0.048	49.005	36.012	5.829	4.014	1649.827	-1.128
0.050	48.999	36.018	5.829	4.005	1646.171	-1.129
0.051	49.005	35.982	5.829	4.014	1646.171	-1.128
0.053	48.999	35.927	5.829	3.997	1649.827	-1.128
0.054	48.999	35.890	5.837	4.005	1654.701	-1.128
0.056	48.992	35.872	5.845	3.989	1660.793	-1.128
0.057	48.999	35.884	5.845	3.981	1663.230	-1.127
0.059	48.999	35.848	5.853	3.989	1663.230	-1.127
0.060	48.999	35.836	5.853	3.989	1658.356	-1.128
0.062	48.999	35.866	5.862	3.989	1657.138	-1.129
0.064	48.992	35.866	5.870	3.997	1653.482	-1.127
0.065	48.986	35.842	5.862	3.989	1651.045	-1.128
0.067	48.986	35.799	5.870	4.005	1649.827	-1.127
0.068	48.992	35.793	5.878	3.981	1647.390	-1.129
0.070	48.992	35.836	5.886	3.997	1651.045	-1.125
0.071	48.986	35.860	5.886	3.997	1654.701	-1.127
0.073	48.986	35.848	5.894	3.997	1660.793	-1.127
0.074	48.992	35.811	5.894	3.997	1665.667	-1.127
0.076	48.986	35.854	5.886	3.989	1663.230	-1.128
0.077	48.986	35.860	5.886	3.989	1659.575	-1.127
0.079	48.986	35.842	5.894	3.981	1657.138	-1.127
0.081	48.980	35.824	5.911	3.989	1655.919	-1.128
0.082	48.980	35.860	5.911	3.997	1652.264	-1.128
0.084	48.980	35.848	5.919	3.997	1649.827	-1.125
0.085	48.974	35.811	5.903	4.005	1644.953	-1.127
0.087	48.980	35.830	5.919	3.997	1648.608	-1.127
0.088	48.968	35.860	5.919	3.997	1652.264	-1.127
0.090	48.974	35.860	5.927	3.989	1655.919	-1.127
0.091	48.974	35.824	5.919	3.997	1662.012	-1.129
0.093	48.980	35.769	5.935	3.989	1662.012	-1.128
0.095	48.980	35.799	5.927	3.997	1662.012	-1.125
0.096	48.968	35.830	5.927	4.005	1658.356	-1.129
0.098	48.974	35.860	5.952	3.997	1655.919	-1.128
0.099	48.974	35.848	5.952	3.997	1653.482	-1.129
0.101	48.968	35.824	5.960	3.989	1651.045	-1.129
0.102	48.968	35.860	5.960	3.997	1655.919	-1.128
0.104	48.962	35.860	5.952	3.997	1648.608	-1.128
0.105	48.968	35.830	5.968	4.005	1652.264	-1.127
0.107	48.962	35.769	5.968	3.981	1657.138	-1.128
0.108	48.962	35.787	5.968	4.005	1662.012	-1.127
0.110	48.962	35.824	5.968	3.997	1662.012	-1.128
0.112	48.968	35.860	5.968	3.989	1664.449	-1.127
0.113	48.962	35.854	5.976	3.997	1660.793	-1.128
0.115	48.968	35.824	5.985	4.014	1655.919	-1.127
0.116	48.962	35.769	5.976	4.005	1654.701	-1.129
0.118	48.962	35.811	5.985	4.005	1653.482	-1.125
0.119	48.962	35.848	5.976	4.022	1648.608	-1.128
0.121	48.944	35.854	6.001	3.997	1644.953	-1.125
0.122	48.950	35.817	5.993	3.997	1647.390	-1.125
0.124	48.956	35.824	6.001	4.014	1651.045	-1.128
0.126	48.962	35.854	6.001	4.005	1658.356	-1.128
0.127	48.956	35.836	6.009	4.005	1662.012	-1.128
0.129	48.956	35.799	6.017	4.014	1663.230	-1.128
0.130	48.944	35.836	6.025	4.014	1659.575	-1.129
0.132	48.950	35.872	6.017	4.005	1658.356	-1.127
0.133	48.950	35.848	6.009	4.005	1654.701	-1.128
0.135	48.944	35.817	6.025	3.997	1652.264	-1.128
0.136	48.944	35.854	6.017	4.014	1649.827	-1.129
0.138	48.944	35.854	6.034	4.005	1651.045	-1.127
0.139	48.950	35.824	6.025	3.997	1649.827	-1.128
0.141	48.944	35.763	6.034	4.014	1654.701	-1.128
0.143	48.932	35.763	6.042	3.997	1658.356	-1.127
0.144	48.944	35.799	6.034	4.014	1662.012	-1.128
0.146	48.944	35.854	6.050	4.014	1665.667	-1.127
0.147	48.944	35.848	6.050	4.005	1663.230	-1.128
0.149	48.932	35.799	6.050	4.014	1660.793	-1.127
0.150	48.938	35.744	6.050	4.005	1655.919	-1.128
0.152	48.932	35.775	6.058	4.014	1655.919	-1.125
0.153	48.932	35.830	6.066	4.014	1649.827	-1.128
0.155	48.932	35.793	6.058	4.022	1643.734	-1.129
0.157	48.944	35.744	6.058	4.014	1646.171	-1.127
0.158	48.938	35.677	6.075	4.005	1649.827	-1.128
0.160	48.938	35.720	6.075	4.005	1655.919	-1.129
0.161	48.926	35.769	6.066	4.014	1660.793	-1.127
0.163	48.938	35.824	6.091	4.014	1664.449	-1.127
0.164	48.932	35.860	6.083	4.022	1662.012	-1.128
0.166	48.932	35.915	6.083	4.005	1658.356	-1.128
0.167	48.926	35.957	6.099	4.022	1655.919	-1.127
0.169	48.926	36.006	6.099	4.022	1654.701	-1.129
0.170	48.926	36.031	6.091	4.014	1649.827	-1.128
0.172	48.926	36.061	6.099	4.014	1648.608	-1.128
0.174	48.919	36.091	6.099	4.014	1648.608	-1.130
0.175	48.926	36.122	6.107	4.022	1651.045	-1.129
0.177	48.926	36.146	6.107	4.005	1655.919	-1.130
0.178	48.926	36.164	6.116	4.014	1658.356	-1.129
0.180	48.926	36.189	6.116	4.014	1663.230	-1.128
0.181	48.926	36.213	6.116	4.014	1663.230	-1.128
0.183	48.919	36.231	6.124	4.030	1662.012	-1.130
0.184	48.919	36.256	6.116	4.030	1658.356	-1.129
0.186	48.919	36.268	6.132	4.014	1654.701	-1.127
0.188	48.913	36.280	6.132	4.022	1652.264	-1.128
0.189	48.913	36.304	6.124	4.014	1651.045	-1.128
0.191	48.919	36.311	6.124	4.030	1644.953	-1.127
0.192	48.913	36.323	6.140	4.022	1647.390	-1.129
0.194	48.926	36.335	6.140	4.014	1651.045	-1.128
0.195	48.913	36.335	6.148	4.014	1654.701	-1.128
0.197	48.913	36.353	6.148	4.014	1660.793	-1.130
