Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A	RPM	Torque
0.000	0.104	-1.102	-1.240	-0.082	47.521	0.105
0.002	0.110	-1.096	-1.240	-0.074	46.302	0.104
0.003	0.110	-1.102	-1.232	-0.090	46.302	0.104
0.005	0.110	-1.102	-1.248	-0.090	48.739	0.105
0.006	0.116	-1.096	-1.232	-0.082	46.302	0.104
0.008	0.110	-1.096	-1.232	-0.074	46.302	0.105
0.009	0.097	-1.090	-1.240	-0.090	46.302	0.105
0.011	0.116	-1.096	-1.248	-0.082	46.302	0.104
0.012	0.104	-1.090	-1.224	-0.082	46.302	0.105
0.014	0.110	-1.096	-1.240	-0.074	47.521	0.103
0.015	0.110	-1.102	-1.232	-0.082	46.302	0.105
0.017	0.110	-1.090	-1.232	-0.090	46.302	0.105
0.019	0.104	-1.096	-1.224	-0.090	48.739	0.105
0.020	0.104	-1.096	-1.240	-0.082	46.302	0.104
0.022	0.104	-1.096	-1.215	-0.082	46.302	0.104
0.023	0.104	-1.096	-1.240	-0.074	46.302	0.101
0.025	0.116	-1.090	-1.215	-0.082	46.302	0.105
0.026	0.097	-1.090	-1.224	-0.074	47.521	0.104
0.028	0.116	-1.090	-1.224	-0.074	46.302	0.104
0.029	0.110	-1.096	-1.224	-0.082	45.084	0.105
0.031	0.110	-1.090	-1.215	-0.082	46.302	0.104
0.033	0.104	-1.096	-1.215	-0.082	46.302	0.106
0.034	0.104	-1.090	-1.224	-0.090	46.302	0.105
0.036	0.104	-1.096	-1.224	-0.082	47.521	0.104
0.037	0.097	-1.096	-1.215	-0.074	46.302	0.105
0.039	0.110	-1.096	-1.224	-0.090	47.521	0.105
0.040	0.104	-1.102	-1.207	-0.082	45.084	0.105
0.042	0.104	-1.096	-1.207	-0.082	47.521	0.103
0.043	0.110	-1.096	-1.215	-0.082	43.865	0.104
0.045	0.110	-1.096	-1.215	-0.082	45.084	0.104
0.046	0.097	-1.096	-1.191	-0.082	46.302	0.105
0.048	0.104	-1.096	-1.207	-0.082	45.084	0.103
0.050	0.097	-1.096	-1.191	-0.082	43.865	0.104
0.051	0.104	-1.102	-1.191	-0.082	45.084	0.104
0.053	0.104	-1.096	-1.207	-0.090	45.084	0.106
0.054	0.104	-1.096	-1.199	-0.082	45.084	0.103
0.056	0.104	-1.090	-1.199	-0.090	45.084	0.105
0.057	0.104	-1.096	-1.191	-0.082	45.084	0.103
0.059	0.097	-1.096	-1.191	-0.074	46.302	0.103
0.060	0.097	-1.096	-1.191	-0.082	43.865	0.104
0.062	0.104	-1.090	-1.199	-0.082	45.084	0.105
0.064	0.110	-1.096	-1.183	-0.082	43.865	0.106
0.065	0.104	-1.084	-1.191	-0.082	46.302	0.104
0.067	0.110	-1.096	-1.183	-0.090	46.302	0.106
0.068	0.104	-1.096	-1.191	-0.082	45.084	0.105
0.070	0.097	-1.090	-1.191	-0.066	45.084	0.105
0.071	0.097	-1.096	-1.174	-0.082	42.647	0.105
0.073	0.091	-1.090	-1.183	-0.090	45.084	0.104
0.074	0.104	-1.096	-1.183	-0.082	43.865	0.105
0.076	0.104	-1.090	-1.174	-0.082	45.084	0.104
0.077	0.097	-1.090	-1.174	-0.082	43.865	0.104
0.079	0.104	-1.096	-1.166	-0.082	45.084	0.104
0.081	0.097	-1.084	-1.183	-0.082	42.647	0.104
0.082	0.110	-1.096	-1.166	-0.090	43.865	0.101
0.084	0.104	-1.096	-1.174	-0.074	45.084	0.104
0.085	0.104	-1.096	-1.166	-0.082	43.865	0.104
0.087	0.097	-1.090	-1.174	-0.082	45.084	0.106
0.088	0.104	-1.096	-1.174	-0.082	42.647	0.105
0.090	0.104	-1.096	-1.166	-0.074	43.865	0.105
0.091	0.104	-1.090	-1.174	-0.082	42.647	0.105
0.093	0.097	-1.096	-1.158	-0.082	42.647	0.104
0.095	0.097	-1.096	-1.158	-0.082	42.647	0.105
0.096	0.097	-1.096	-1.166	-0.074	43.865	0.104
0.098	0.085	-1.090	-1.158	-0.090	42.647	0.104
0.099	0.097	-1.090	-1.166	-0.090	45.084	0.104
0.101	0.104	-1.090	-1.158	-0.082	42.647	0.105
0.102	0.104	-1.096	-1.150	-0.074	42.647	0.104
0.104	0.104	-1.096	-1.150	-0.082	45.084	0.105
0.105	0.104	-1.090	-1.142	-0.082	41.428	0.104
0.107	0.104	-1.084	-1.150	-0.082	41.428	0.104
0.108	0.110	-1.096	-1.150	-0.098	43.865	0.103
0.110	0.104	-1.096	-1.150	-0.082	42.647	0.104
0.112	0.097	-1.102	-1.142	-0.082	41.428	0.104
0.113	0.110	-1.102	-1.150	-0.082	43.865	0.105
0.115	0.104	-1.090	-1.142	-0.082	43.865	0.105
0.116	0.104	-1.090	-1.133	-0.082	42.647	0.104
0.118	0.104	-1.084	-1.150	-0.082	42.647	0.103
0.119	0.104	-1.090	-1.150	-0.074	43.865	0.104
0.121	0.104	-1.096	-1.150	-0.074	43.865	0.104
0.122	0.091	-1.102	-1.142	-0.082	42.647	0.104
0.124	0.097	-1.090	-1.142	-0.082	43.865	0.103
0.126	0.104	-1.096	-1.150	-0.082	41.428	0.104
0.127	0.104	-1.090	-1.142	-0.090	41.428	0.104
0.129	0.097	-1.084	-1.133	-0.074	41.428	0.104
0.130	0.097	-1.096	-1.125	-0.074	43.865	0.104
0.132	0.097	-1.096	-1.142	-0.074	40.210	0.103
0.133	0.091	-1.090	-1.125	-0.074	42.647	0.101
0.135	0.104	-1.096	-1.142	-0.074	42.647	0.105
0.136	0.097	-1.090	-1.117	-0.082	40.210	0.104
0.138	0.097	-1.102	-1.125	-0.082	42.647	0.106
0.139	0.091	-1.096	-1.117	-0.090	41.428	0.104
0.141	0.085	-1.090	-1.133	-0.082	41.428	0.104
0.143	0.097	-1.096	-1.125	-0.074	42.647	0.104
0.144	0.091	-1.102	-1.117	-0.082	41.428	0.105
0.146	0.091	-1.096	-1.109	-0.090	42.647	0.105
0.147	0.091	-1.090	-1.109	-0.082	40.210	0.103
0.149	0.104	-1.096	-1.117	-0.090	40.210	0.105
0.150	0.097	-1.096	-1.109	-0.090	41.428	0.106
0.152	0.097	-1.096	-1.109	-0.090	41.428	0.104
0.153	0.097	-1.096	-1.109	-0.090	41.428	0.105
0.155	0.097	-1.084	-1.109	-0.074	41.428	0.105
0.157	0.104	-1.096	-1.109	-0.090	41.428	0.105
0.158	0.097	-1.090	-1.101	-0.082	41.428	0.104
0.160	0.085	-1.096	-1.109	-0.082	40.210	0.104
0.161	0.091	-1.096	-1.109	-0.074	38.991	0.104
0.163	0.085	-1.090	-1.101	-0.074	40.210	0.105
0.164	-27.964	-1.096	-1.174	-0.090	64.580	0.106
0.166	-48.633	-1.090	-1.174	-0.082	37.773	0.104
0.167	-49.614	-1.090	-1.207	-0.082	40.210	0.100
0.169	-49.656	-1.102	-1.240	-0.090	37.773	0.104
0.170	-49.656	-1.090	-1.305	-0.074	41.428	0.105
0.172	-49.650	-1.090	-1.338	-0.082	41.428	0.103
0.174	-49.644	-1.096	-1.371	-0.090	42.647	0.103
0.175	-49.638	-1.096	-1.404	-0.082	40.210	0.105
0.177	-49.638	-1.096	-1.445	-0.082	41.428	0.104
